global_step,Energy/mae,Energy/mae/atom,Energy/mse,loss
6000,0.66476125,0.04695562,0.7731428,0.66476256
12000,0.67079693,0.047461722,0.7840267,0.67079806
18000,0.66252357,0.04677729,0.7670881,0.6625244
24000,0.6648913,0.04698405,0.7722366,0.66489226
30000,0.66414315,0.046816215,0.7647579,0.6641441
36000,0.6629101,0.04682167,0.77228826,0.66291106
42000,0.66458297,0.047042526,0.7789075,0.66458416
48000,0.66267043,0.04675801,0.7678115,0.662671
54000,0.6642991,0.046909332,0.7723509,0.6643
60000,0.6668954,0.047132794,0.7793322,0.66689634
66000,0.6630534,0.046859447,0.7702059,0.6630545
72000,0.6636625,0.046855766,0.76942277,0.6636637
78000,0.66863847,0.047193903,0.7756455,0.6686401
84000,0.6628001,0.046754368,0.76253915,0.6628008
90000,0.6622648,0.046798907,0.7713054,0.66226554
96000,0.662228,0.046697654,0.7627172,0.66222954
102000,0.6631883,0.046836644,0.76974803,0.6631893
108000,0.6644012,0.046875298,0.76689106,0.6644023
114000,0.6642623,0.046867266,0.7719801,0.66426325
120000,0.6636513,0.04676409,0.7663415,0.6636522
126000,0.66391045,0.046826143,0.76349413,0.66391146
132000,0.66575396,0.046966143,0.77041626,0.6657549
138000,0.6634616,0.046818405,0.76831645,0.6634626
144000,0.66233945,0.04674069,0.76573,0.66234034
150000,0.66604525,0.04700909,0.7729311,0.66604584
156000,0.6635174,0.04689459,0.7736278,0.66351825
162000,0.6629655,0.04680637,0.76724875,0.6629662
168000,0.66364604,0.046893664,0.77508205,0.66364706
174000,0.6664495,0.047064256,0.77194023,0.6664507
180000,0.666418,0.04694213,0.76796746,0.6664188
186000,0.6615531,0.046732284,0.7667471,0.66155434
192000,0.6628575,0.0467575,0.7646677,0.6628585
198000,0.66278607,0.046730395,0.7643952,0.66278726
204000,0.662886,0.046821866,0.7689436,0.6628873
210000,0.6657221,0.046880122,0.7618475,0.66572297
216000,0.66596323,0.04710376,0.77435875,0.6659641
222000,0.6632935,0.046736192,0.7628494,0.6632941
228000,0.66391826,0.046912167,0.77181554,0.6639196
234000,0.66551185,0.046938516,0.76202434,0.66551304
240000,0.6635535,0.046749108,0.76203465,0.66355443
246000,0.66210747,0.046677627,0.76504534,0.6621085
252000,0.6636584,0.046860546,0.7672559,0.663659
258000,0.6628613,0.046856545,0.7735048,0.66286296
264000,0.6626072,0.046753515,0.76393175,0.66260827
270000,0.6642736,0.046815354,0.76217896,0.66427475
276000,0.67453307,0.0477151,0.7871981,0.674534
282000,0.6663312,0.04706167,0.7706245,0.666332
288000,0.6634821,0.046969756,0.77500135,0.6634833
294000,0.6629408,0.04677373,0.76252484,0.6629417
300000,0.66403943,0.046882067,0.76592827,0.66404074
