global_step,Energy/mae,Energy/mae/atom,Energy/mse,loss
2400,5.4669213,0.35803047,30.694061,5.539955
4800,1.1111835,0.072122306,1.4584993,1.206559
7200,0.6023323,0.039720822,0.5094634,0.710739
9600,0.5146511,0.034212302,0.39413416,0.6237935
12000,0.34632686,0.023528656,0.22468185,0.46588427
14400,0.30015984,0.020636108,0.18563853,0.42047015
16800,0.29795173,0.020431763,0.18219613,0.41619626
19200,0.2952578,0.020260654,0.17886457,0.41192397
21600,0.27256244,0.01876753,0.16062762,0.38936073
24000,0.26316315,0.018174531,0.15308791,0.3800263
26400,0.25585905,0.01767727,0.14623392,0.37069345
28800,0.25605065,0.017691938,0.14482117,0.36856574
31200,0.2606473,0.017945599,0.14579336,0.37047702
33600,0.246632,0.017073695,0.13581833,0.35616753
36000,0.24682562,0.017064778,0.13511573,0.35520053
38400,0.2336549,0.016262589,0.12629597,0.34205866
40800,0.22952218,0.015965557,0.122571744,0.33647233
43200,0.22623886,0.015732545,0.1196192,0.33211884
45600,0.22377439,0.015563912,0.11733764,0.32844716
48000,0.22162652,0.015433388,0.11596592,0.32641035
50400,0.21815601,0.015181392,0.11318869,0.32215253
52800,0.37256056,0.024797784,0.2304172,0.47468036
55200,0.24746579,0.01714579,0.13389698,0.3558118
57600,0.23161264,0.01617067,0.12168085,0.33785284
60000,0.22469357,0.01570465,0.11649306,0.32991454
62400,0.22065336,0.015416232,0.11320735,0.32504025
64800,0.21705486,0.015160496,0.11018539,0.32049632
67200,0.21607195,0.015082943,0.10860251,0.31819025
69600,0.21397272,0.0149413245,0.106969744,0.3157058
72000,0.21364005,0.014897594,0.10599135,0.31456947
74400,0.2099385,0.014664732,0.10377831,0.31079888
76800,0.21686053,0.015070072,0.1062761,0.31523782
79200,0.20673725,0.01443762,0.10170062,0.30735758
81600,0.87515146,0.05590861,0.9713991,0.98332345
84000,0.2491412,0.017209051,0.13128912,0.3537033
86400,0.27269587,0.018681323,0.14334704,0.37060973
88800,0.24435048,0.016820833,0.12557192,0.34449306
91200,0.22535479,0.01565033,0.11305745,0.3257634
93600,0.2195562,0.01529022,0.10891502,0.31922352
96000,0.21641998,0.015084452,0.10700866,0.31626728
98400,0.37742046,0.024930641,0.23650058,0.48073158
100800,0.28776515,0.019442318,0.1486465,0.37864655
103200,0.22231327,0.015411676,0.109168746,0.31992382
105600,0.21415292,0.014917793,0.10434539,0.31205067
108000,0.21180296,0.014763841,0.10295164,0.3098835
110400,0.28222516,0.018836018,0.14165741,0.3701353
112800,0.21065329,0.0146788005,0.101551175,0.307487
115200,0.21351717,0.0148309255,0.10231116,0.30895534
117600,0.22364756,0.015404386,0.10722793,0.3175119
120000,0.20715836,0.014446049,0.09959923,0.3038414
