global_step,Energy/mae,Energy/mae/atom,Energy/mse,Forces/mae,Forces/mse,Stress/mae,Stress/mse,Stress/relative,loss
2000,3.8062809,0.070032194,74.30333,0.21768348,0.109158285,0.03689348,0.0034268475,12.000172,18.225449
4000,1.308727,0.026633013,5.256776,0.16676928,0.073203035,0.010559806,0.00026421677,3.550273,5.6041093
6000,0.80912983,0.017427253,1.5762657,0.15446351,0.06580833,0.0055962238,0.00010023553,1.5121882,3.5692384
8000,0.72131604,0.015482831,1.1283962,0.14756556,0.060351588,0.004403853,7.719395,0.9140743,3.138903
10000,0.69233465,0.014950606,1.0193067,0.14289922,0.05651839,0.0042098463,7.3811236,0.7886015,3.0286367
12000,0.6646886,0.01445887,0.94633496,0.13941823,0.053866718,0.004142303,7.207235,0.7627203,2.958765
14000,0.63754636,0.014078088,0.8894888,0.13572282,0.051250257,0.0041290014,7.100066,0.77166075,2.902773
16000,0.6133128,0.01363017,0.83438873,0.13287498,0.049195264,0.0040704883,6.9539055,0.7750652,2.8421714
18000,0.5915632,0.013271735,0.7901569,0.13065779,0.047722504,0.0040223226,6.8493486,0.77317107,2.7946627
20000,0.5776999,0.013026641,0.7677638,0.12816668,0.04610707,0.0039729537,6.730302,0.7682364,2.7574089
22000,0.561119,0.012813883,0.73945445,0.1258507,0.044615015,0.0039458624,6.660406,0.76207465,2.7222798
24000,0.5448681,0.012566787,0.7109622,0.12338982,0.043175396,0.003932291,6.615494,0.7547996,2.6896448
26000,0.53080285,0.012304435,0.6840675,0.12175923,0.04222136,0.0039198357,6.575905,0.75572836,2.6616786
28000,0.518424,0.012117629,0.6590852,0.11998617,0.04109804,0.0039046595,6.504891,0.7532781,2.631352
30000,0.5071048,0.011946456,0.6378311,0.11846319,0.040257026,0.0038933854,6.4468135,0.7509926,2.604649
32000,0.4960777,0.0117477635,0.61800367,0.11694586,0.0394092,0.003891403,6.412716,0.757176,2.5823271
34000,0.49006724,0.011633679,0.59994763,0.115699284,0.038707644,0.0038810216,6.3675834,0.7539861,2.5614471
36000,0.4822643,0.011466069,0.5870578,0.11440916,0.037958056,0.003862162,6.3339445,0.74716,2.543514
38000,0.4748052,0.011289046,0.5726105,0.113325074,0.03730999,0.0038380062,6.274729,0.74325407,2.5225885
40000,0.46704683,0.011158075,0.55730057,0.1124374,0.036884885,0.0038173879,6.236499,0.7372552,2.505438
42000,0.4696582,0.011258524,0.5590824,0.1119907,0.036614172,0.0038488111,6.21874,0.7596631,2.5016303
44000,0.45778418,0.010963247,0.53974354,0.11059267,0.03587945,0.003812029,6.1595514,0.7431694,2.476757
46000,0.44898915,0.010770898,0.5284143,0.1095556,0.03540439,0.0037841564,6.107696,0.73359233,2.4591556
48000,0.44366816,0.010643837,0.51850355,0.10869036,0.034930285,0.0037611055,6.0641978,0.73112214,2.444278
50000,0.43852347,0.010515328,0.5059487,0.107812725,0.034489974,0.003739305,6.0303882,0.72813886,2.4287767
52000,0.42973197,0.010343853,0.49672326,0.107076734,0.034234677,0.003714288,5.9694055,0.72452027,2.4119697
54000,0.4228024,0.010218836,0.4864097,0.106215775,0.033873454,0.0036890816,5.912298,0.7200937,2.3946283
56000,0.41891223,0.01012067,0.47975463,0.10519867,0.033415336,0.003655578,5.8457143,0.7112084,2.3790345
58000,0.41851473,0.010056856,0.47516194,0.10444101,0.033049576,0.003623692,5.7859437,0.7020115,2.367164
60000,0.41055724,0.009894565,0.46695614,0.10357863,0.03269113,0.0036010158,5.7426292,0.6942468,2.3517344
